Date,Open,High,Low,Close,Adj Close,Volume
2/27/2023,323.869995,330,322.119995,323.029999,323.029999,6142600
2/28/2023,323.700012,327.619995,321.170013,322.130005,322.130005,3676100
3/1/2023,321.549988,326.600006,312.359985,313.480011,313.480011,4911300
3/2/2023,310.959991,315.570007,310.380005,311.880005,311.880005,4911000
3/3/2023,315.450012,317.48999,310.820007,315.179993,315.179993,5953300
3/6/2023,317,323.299988,311.839996,312.029999,312.029999,5660700
3/7/2023,312.679993,314.299988,306.619995,308.470001,308.470001,4553100
3/8/2023,309.290009,311.829987,305.75,311.790009,311.790009,3479500
3/9/2023,312.079987,312.51001,294.880005,297.779999,297.779999,7443400
3/10/2023,297.899994,298.790009,289,292.76001,292.76001,5759300
3/13/2023,287.339996,299.23999,285.329987,293.51001,293.51001,6292400
3/14/2023,295.970001,297.450012,290.309998,294.940002,294.940002,5956700
3/15/2023,292.51001,306.309998,292.279999,303.790009,303.790009,9215300
3/16/2023,304.75,316.600006,301.709991,310.059998,310.059998,7903700
3/17/2023,310.059998,310.76001,300,303.5,303.5,6918800
3/20/2023,299.790009,307.5,296,305.130005,305.130005,5113400
3/21/2023,306.320007,307.920013,300.429993,305.790009,305.790009,4886300
3/22/2023,306.309998,306.450012,293.540009,293.899994,293.899994,5808000
3/23/2023,304.679993,322.779999,304.140015,320.369995,320.369995,15653300
3/24/2023,320.630005,331.829987,320.630005,328.390015,328.390015,12991700
3/27/2023,327.549988,336.440002,324.410004,327.660004,327.660004,8625800
3/28/2023,326.059998,333.320007,321.279999,323.519989,323.519989,6489400
3/29/2023,326.290009,332.850006,325.730011,332.029999,332.029999,6287300
3/30/2023,340.269989,343.290009,335.299988,338.429993,338.429993,7131500
3/31/2023,340.049988,345.839996,337.200012,345.480011,345.480011,5604300
4/3/2023,341.829987,348.579987,340.399994,348.279999,348.279999,4413700
4/4/2023,348.48999,349.799988,343.950012,346.75,346.75,3298100
4/5/2023,345.299988,345.429993,336.25,342.350006,342.350006,4205500
4/6/2023,339.339996,340.480011,332.630005,339.329987,339.329987,4660500
4/10/2023,335.269989,339.880005,333.359985,338.98999,338.98999,2657900
4/11/2023,343.450012,347.140015,337.640015,338.209991,338.209991,4044800
4/12/2023,340.809998,342.799988,330.040009,331.029999,331.029999,3965400
4/13/2023,339.98999,346.429993,338.75,346.190002,346.190002,7406400
4/14/2023,342.940002,344.850006,336.410004,338.630005,338.630005,5345600
4/17/2023,338,338.390015,327.5,332.720001,332.720001,6136000
4/18/2023,335,337.190002,330.5,333.700012,333.700012,17944500
4/19/2023,324.209991,325.75,316.100006,323.119995,323.119995,22128300
4/20/2023,320.390015,331.429993,318.329987,325.350006,325.350006,9947800
